experiment_id,epoch,step,tokens_seen,estimated_chars_seen,train_loss,val_loss,test_loss,train_nats_per_char,val_nats_per_char,train_bits_per_char,val_bits_per_char,train_val_gap,best_val_loss_so_far,best_val_bits_per_char_so_far,val_loss_minus_best_so_far,val_bits_minus_best_so_far,lr,grad_norm,elapsed_sec,tokens_per_sec,tokens_per_sec_after_warmup,parameter_count,compute_proxy_param_tokens,estimated_train_flops
E08,2.0,392.0,1605632.0,2751415.012964879,5.4945,5.6069,5.6069,3.2064028808556233,3.273451089913736,4.625861535302493,4.7225916540111195,0.11240000000000006,5.6069,4.7225916540111195,0.0,0.0,0.0004,0.655243,8.13306,197420.0,197420.0,4725248.0,7587009396736.0,45522056380416.0
E08,3.0,500.0,2048000.0,3509457.924700101,5.33711,5.47871,5.47871,3.1145554426141335,3.198610501493033,4.493353691633141,4.614619508239359,0.1416000000000004,5.47871,4.614619508239359,0.0,0.0,0.0004,0.678763,10.4902,195230.0,195230.0,4725248.0,9677307904000.0,58063847424000.0
E08,3.0,588.0,2408448.0,4127122.5194473187,5.2475,5.41583,5.41583,3.06226210160886,3.161899555242203,4.417910347893318,4.561656808136945,0.1683300000000001,5.41583,4.561656808136945,0.0,0.0,0.0004,0.737704,12.4542,193384.0,193384.0,4725248.0,11380514095104.0,68283084570624.0
E08,4.0,784.0,3211264.0,5502830.025929758,5.07474,5.31079,5.31079,2.96144525536323,3.1005745267086926,4.2724623837766815,4.473183493589276,0.23604999999999965,5.31079,4.473183493589276,0.0,0.0,0.0004,0.775793,16.4634,195055.0,195055.0,4725248.0,15174018793472.0,91044112760832.0
E08,5.0,980.0,4014080.0,6878537.532412198,4.9471,5.22917,5.22917,2.886958902881218,3.0529226909422693,4.165001292436976,4.404436426439801,0.28207000000000004,5.22917,4.404436426439801,0.0,0.0,0.0004,0.889194,20.3855,196909.0,196909.0,4725248.0,18967523491840.0,113805140951040.0
E09,0.0,0.0,0.0,0.0,8.04498,8.04569,8.04569,4.694776057589567,4.697278834936961,6.773130136368707,6.7767408808362415,0.0007099999999997664,8.04569,6.7767408808362415,0.0,0.0,0.0004,,0.0,0.0,0.0,2954112.0,0.0,0.0
E09,1.0,196.0,802816.0,1375707.5064824396,6.66929,6.6944,6.6944,3.8919702737758852,3.908361300597213,5.614926213263731,5.638573466373939,0.025109999999999744,6.6944,5.638573466373939,0.0,0.0,0.0004,0.617309,4.3536,184403.0,184403.0,2954112.0,2371608379392.0,14229650276352.0
E09,2.0,392.0,1605632.0,2751415.012964879,5.60407,5.69215,5.69215,3.270344197382214,3.3232222121765096,4.718109355563318,4.794396205279101,0.08807999999999971,5.69215,4.794396205279101,0.0,0.0,0.0004,0.592126,8.1744,196422.0,196422.0,2954112.0,4743216758784.0,28459300552704.0
E09,3.0,500.0,2048000.0,3509457.924700101,5.43289,5.54598,5.54598,3.170449385271036,3.2378844416058397,4.5739916055199865,4.671279826876275,0.11308999999999969,5.54598,4.671279826876275,0.0,0.0,0.0004,0.641523,10.4035,196856.0,196856.0,2954112.0,6050021376000.0,36300128256000.0
E09,3.0,588.0,2408448.0,4127122.5194473187,5.33225,5.47046,5.47046,3.1117193123018287,3.1937939412740546,4.489262020496264,4.607670680697296,0.13820999999999994,5.47046,4.607670680697296,0.0,0.0,0.0004,0.755027,12.2491,196622.0,196622.0,2954112.0,7114825138176.0,42688950829056.0
E09,4.0,784.0,3211264.0,5502830.025929758,5.17939,5.36628,5.36628,3.022515427623042,3.13297100265428,4.360568018442148,4.519921728778253,0.18689,5.36628,4.519921728778253,0.0,0.0,0.0004,0.692453,16.1377,198991.0,198991.0,2954112.0,9486433517568.0,56918601105408.0
E09,5.0,980.0,4014080.0,6878537.532412198,5.07094,5.28845,5.28845,2.9592277049132796,3.087531865461181,4.269263134739617,4.454366910887496,0.21750999999999987,5.28845,4.454366910887496,0.0,0.0,0.0004,0.826589,20.0245,200459.0,200459.0,2954112.0,11858041896960.0,71148251381760.0
E10,0.0,0.0,0.0,0.0,8.04498,8.04568,8.04568,4.694776057589567,4.697272996682151,6.773130136368707,6.77673245801498,0.000700000000000145,8.04568,6.77673245801498,0.0,0.0,0.0004,,0.0,0.0,0.0,2954112.0,0.0,0.0
E10,1.0,196.0,802816.0,1375707.5064824396,6.66961,6.69495,6.69495,3.892157014866407,3.908682404611812,5.615195623708956,5.63903672154341,0.025340000000000806,6.69495,5.63903672154341,0.0,0.0,0.0004,0.652235,4.24062,189316.0,189316.0,2954112.0,2371608379392.0,14229650276352.0
E10,2.0,392.0,1605632.0,2751415.012964879,5.60616,5.6929,5.6929,3.271563850129686,3.323660081287326,4.719868942533703,4.795027916873835,0.08673999999999982,5.6929,4.795027916873835,0.0,0.0,0.0004,0.587945,8.18206,196238.0,196238.0,2954112.0,4743216758784.0,28459300552704.0
E10,3.0,500.0,2048000.0,3509457.924700101,5.43428,5.54601,5.54601,3.1712605418829916,3.2379019563702722,4.575161857141439,4.671305095340065,0.11172999999999966,5.54601,4.671305095340065,0.0,0.0,0.0004,0.648644,10.4948,195144.0,195144.0,2954112.0,6050021376000.0,36300128256000.0
E10,3.0,588.0,2408448.0,4127122.5194473187,5.33425,5.47241,5.47241,3.1128864441175916,3.1949324009621765,4.490945835778929,4.609313130843601,0.13816000000000006,5.47241,4.609313130843601,0.0,0.0,0.0004,0.769464,12.3266,195386.0,195386.0,2954112.0,7114825138176.0,42688950829056.0
E10,4.0,784.0,3211264.0,5502830.025929758,5.18949,5.37749,5.37749,3.028409443292647,3.1395156862972793,4.369071285619608,4.529363711414195,0.18799999999999972,5.37749,4.529363711414195,0.0,0.0,0.0004,0.683756,16.3019,196987.0,196987.0,2954112.0,9486433517568.0,56918601105408.0
E10,5.0,980.0,4014080.0,6878537.532412198,5.08364,5.30265,5.30265,2.966638991943376,3.0958221872926344,4.279955361784542,4.466327317081108,0.21900999999999993,5.30265,4.466327317081108,0.0,0.0,0.0004,0.798748,20.5072,195740.0,195740.0,2954112.0,11858041896960.0,71148251381760.0
E11,0.0,0.0,0.0,0.0,8.04298,8.04276,8.04276,4.693608925773803,4.695568226277372,6.7714463210860405,6.77427299420615,-0.0002200000000005531,8.04276,6.77427299420615,0.0,0.0,0.0004,,0.0,0.0,0.0,2065536.0,0.0,0.0
E11,1.0,196.0,802816.0,1375707.5064824396,6.37583,6.40943,6.40943,3.7207170224489414,3.741988553251493,5.367859996838238,5.398548328839196,0.03360000000000074,6.40943,5.398548328839196,0.0,0.0,0.0004,0.50752,2.69871,297481.0,297481.0,2065536.0,1658245349376.0,9949472096256.0
E11,2.0,392.0,1605632.0,2751415.012964879,5.53498,5.63156,5.63156,3.2300256288066715,3.2878482262773727,4.659941956623641,4.74336233124594,0.09658000000000033,5.63156,4.74336233124594,0.0,0.0,0.0004,0.659019,5.14241,312233.0,312233.0,2065536.0,3316490698752.0,19898944192512.0
E11,3.0,500.0,2048000.0,3509457.924700101,5.39283,5.51149,5.51149,3.147071735001298,3.217748300763106,4.5402647854081986,4.642229516339822,0.11866000000000021,5.51149,4.642229516339822,0.0,0.0,0.0004,0.668619,6.50076,315040.0,315040.0,2065536.0,4230217728000.0,25381306368000.0
E11,3.0,588.0,2408448.0,4127122.5194473187,5.30619,5.44758,5.44758,3.096511584742433,3.1804360142667556,4.467321907363134,4.5883992656473085,0.14139000000000035,5.44758,4.5883992656473085,0.0,0.0,0.0004,0.753076,7.58587,317491.0,317491.0,2065536.0,4974736048128.0,29848416288768.0
